dataset,seed,limit_dummies,iteration,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_learning_rate,param_min_data_in_leaf,param_n_estimators,param_random_strength,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,exp_name
credit-g,0,,46,0.7853794097900391,0.024092680183039665,0.011029529571533202,0.0034025494469216264,5,0.9407925981323144,36,164,18,0.7047991071428572,0.7036830357142857,0.697358630952381,0.7027529761904762,0.7172619047619048,0.7051711309523809,0.006563874909961078,888,0.9654250372023809,0.9526134672619049,0.9675176711309523,0.9680059523809523,0.969145275297619,0.9645414806547619,0.006084626116348577,CATBOOST
credit-g,0,,47,0.8597134590148926,0.02788351798050788,0.010953283309936524,7.373786687938028E-4,6,0.3807504959316417,94,134,3,0.7366071428571429,0.6633184523809523,0.7511160714285714,0.7330729166666666,0.7447916666666667,0.72578125,0.0318597506706757,545,0.9906412760416667,0.9540201822916667,0.9440452938988094,0.9783063616071428,0.9149693080357142,0.956396484375,0.026559962853278444,CATBOOST
credit-g,0,,48,6.432975816726684,0.12656258019530994,0.018212318420410156,0.00404908353272007,10,0.29687443636309463,45,167,3,0.7317708333333333,0.6761532738095238,0.765438988095238,0.7291666666666666,0.7194940476190477,0.7244047619047619,0.028681226202881358,574,0.9704822358630951,0.9620303199404762,0.9683779761904762,0.9754115513392857,0.9634137834821429,0.9679431733630952,0.004855713536935685,CATBOOST
credit-g,0,,49,7.2225010871887205,0.18252359607385757,0.014454126358032227,0.002013167810542999,8,0.7124902220735015,40,200,18,0.6765252976190477,0.6956845238095238,0.6819196428571429,0.7312127976190476,0.7472098214285715,0.7065104166666667,0.027884270295976163,870,0.9729817708333334,0.933535621279762,0.8882882254464285,0.9515787760416666,0.9319545200892857,0.9356677827380953,0.027959435962177936,CATBOOST
credit-g,0,,50,0.8661913871765137,0.04945673255942669,0.013596439361572265,0.0022974879787716566,7,0.9787639479337382,84,91,15,0.7142857142857144,0.7287946428571429,0.7347470238095237,0.7492559523809524,0.6793154761904762,0.721279761904762,0.02379254416874207,628,0.9558454241071429,0.9546014694940476,0.9204799107142857,0.9592866443452381,0.9624720982142857,0.950537109375,0.015278290091444982,CATBOOST
credit-g,0,,51,4.8324450016021725,0.06864149504536357,0.014854335784912109,0.006439205655624221,10,0.769451090778809,97,123,12,0.703311011904762,0.6852678571428572,0.7312127976190477,0.7168898809523809,0.7572544642857143,0.7187872023809525,0.024498099766797347,675,0.9699823288690477,0.9421386718749999,0.9542759486607143,0.9667038690476191,0.9716796875,0.9609561011904763,0.011209148126835083,CATBOOST
credit-g,0,,52,0.8765669822692871,0.06400233031761879,0.0159210205078125,0.0050176179370383265,6,0.991305052657034,1,113,17,0.6906622023809524,0.6776413690476191,0.7196800595238096,0.7189360119047619,0.7057291666666667,0.702529761904762,0.016332819758863144,914,0.9597516741071428,0.9488002232142857,0.9086797805059524,0.9692847842261905,0.9542875744047621,0.9481608072916666,0.020867525963079045,CATBOOST
credit-g,0,,53,1.1768013477325439,0.03806417266118647,0.011049509048461914,0.0022309555042016992,7,0.22349837808747514,25,166,4,0.7414434523809524,0.6941964285714286,0.7777157738095237,0.7492559523809524,0.6999627976190477,0.732514880952381,0.03140396630244696,443,0.9743187313988095,0.9715518043154762,0.9610072544642857,0.980038597470238,0.9301641555059524,0.9634161086309524,0.017736171107231757,CATBOOST
credit-g,0,,54,1.6637827396392821,0.04271369321159284,0.009772014617919923,0.001650244712650749,8,0.44511750475470824,92,143,15,0.7356770833333333,0.7393973214285715,0.8152901785714286,0.7057291666666666,0.7027529761904762,0.7397693452380951,0.04061828802698955,290,0.975737072172619,0.9652506510416666,0.9535319010416667,0.9835379464285714,0.9597981770833333,0.9675711495535714,0.010812263480082527,CATBOOST
credit-g,0,,55,0.6007816314697265,0.01928773854823214,0.012051916122436524,0.0017870025174512084,5,0.8853855899026557,72,137,14,0.6728050595238095,0.7118675595238094,0.7061011904761905,0.7591145833333334,0.7507440476190477,0.7201264880952382,0.03150156503407553,650,0.9674595424107142,0.9733305431547619,0.9437779017857143,0.9749000186011906,0.9547526041666666,0.9628441220238095,0.011879437622783843,CATBOOST
credit-g,0,,56,0.777597713470459,0.023684124765225713,0.016739368438720703,0.002522337036633666,7,0.267072349875357,56,114,12,0.7412574404761905,0.6921502976190477,0.76953125,0.7366071428571428,0.744233630952381,0.7367559523809524,0.025060270497019504,353,0.9704241071428572,0.9566476004464286,0.9656226748511905,0.9718191964285715,0.9477190290178572,0.962446521577381,0.009078583351087315,CATBOOST
